Age,d18O
133,6.63577698
133,6.644815978
133,6.644815978
133,6.652882505
133,6.652882505
133,6.654614366
133,6.654614366
133,6.663642031
133,6.663642031
133,6.664751646
133,6.664751646
133,6.678416118
133,6.678416118
133,6.678977159
133,6.678977159
133,6.681907042
133,6.681907042
133,6.684101337
133,6.684101337
133,6.684999003
133,6.684999003
133,6.68764213
133,6.68764213
133,6.709335727
133,6.709335727
133,6.709976917
133,6.709976917
133,6.712418621
133,6.712418621
133,6.712509294
133,6.712509294
133,6.725693198
133,6.725693198
133,6.728150445
133,6.728150445
133,6.735018951
133,6.735018951
133,6.738474253
133,6.738474253
133,6.750827848
133,6.750827848
133,6.750870594
133,6.750870594
133,6.751008628
133,6.751008628
133,6.751326551
133,6.751326551
133,6.761200878
133,6.761200878
133,6.79475649
133,6.79475649
133,6.794913226
133,6.794913226
133,6.82214243
133,6.82214243
133,6.823912827
133,6.823912827
133,6.831218831
133,6.831218831
133,6.839696788
133,6.839696788
133,6.846080192
133,6.846080192
133,6.849509736
133,6.849509736
133,6.863221339
133,6.863221339
133,6.885178536
133,6.885178536
133,6.885423354
133,6.885423354
133,6.894479354
133,6.894479354
133,6.90213445
133,6.90213445
133,6.912307999
133,6.912307999
133,6.914203072
133,6.914203072
133,6.919289846
133,6.919289846
133,6.921658687
133,6.921658687
133,6.922381807
133,6.922381807
133,6.929962099
133,6.929962099
133,6.932754837
133,6.932754837
133,6.933453022
133,6.933453022
133,6.942537096
133,6.942537096
133,6.9494614
133,6.9494614
133,6.954840272
133,6.954840272
133,6.960090016
133,6.960090016
133,6.971778376
133,6.971778376
133,6.9834231
133,6.9834231
133,6.98641532
133,6.98641532
133,7.001825254
133,7.001825254
133,7.002074606
133,7.002074606
133,7.010452823
133,7.010452823
133,7.028879912
133,7.028879912
133,7.030126671
133,7.030126671
133,7.031897068
133,7.031897068
133,7.038343942
133,7.038343942
133,7.042369838
133,7.042369838
133,7.053908588
133,7.053908588
133,7.058517598
133,7.058517598
133,7.064612009
133,7.064612009
133,7.078625574
133,7.078625574
133,7.097825653
133,7.097825653
133,7.107953168
133,7.107953168
133,7.133451775
133,7.133451775
133,7.134985448
133,7.134985448
133,7.154278875
133,7.154278875
133,7.165275284
133,7.165275284
133,7.17133453
133,7.17133453
133,7.173272349
133,7.173272349
133,7.182804708
133,7.182804708
133,7.203972748
133,7.203972748
133,7.209161181
133,7.209161181
133,7.214204885
133,7.214204885
133,7.231079194
133,7.231079194
133,7.234071414
133,7.234071414
133,7.234432015
133,7.234432015
133,7.240704169
133,7.240704169
133,7.247644458
133,7.247644458
133,7.256974367
133,7.256974367
133,7.261477083
133,7.261477083
133,7.261545814
133,7.261545814
133,7.262666298
133,7.262666298
133,7.277458608
133,7.277458608
133,7.280949531
