,Age,Title,Event_text,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level  (C = 176.6 106km2/km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr/86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
183,242.85,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
184,242.8,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
185,242.75,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
186,242.7,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
187,242.65,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
188,242.6,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
189,242.55,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
190,242.5,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
191,242.45,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
192,242.4,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
193,242.35,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
194,242.3,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
195,242.25,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
196,242.2,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
197,242.15,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
