Age,Hf
2249,-5.0
2249,-4.4
2249,-2.7
2248,7.3
2245,-3.3
2244,3.1
2244,2.3
2244,1.1
2243,-27.4
2242,-5.8
2242,5.4
2241,5.1
2241,2.9
2238,4.7
2238,-11.4
2238,-4.2
2238,1.2
2236,9.0
2236,-2.9
2235,3.9
2235,-8.2
2233,2.0
2232,7.9
2232,-8.1
2231,5.7
2231,0.0
2229,4.2
2228,5.7
2227,0.2
2226,-2.2
2226,6.5
2224,3.6
2224,-1.1
2224,10.1
2224,-5.6
2223,-4.9
2222,0.3
2220,6.9
2220,-6.5
2219,4.4
2219,1.3
2219,-0.5
2219,-9.6
2218,-4.3
2217,7.3
2217,8.3
2217,-5.6
2216,4.6
2216,5.5
2215,-4.5
2215,-4.8
2214,6.5
2214,-7.0
2213,1.8
2213,-10.3
2212,-0.6
2212,5.2
2212,3.5
2212,2.3
2211,5.1
2210,6.9
2210,-0.4
2210,0.9
2209,4.6
2209,7.5
2209,-5.8
2209,-1.2
2208,-0.6
2208,-4.3
2208,0.1
2208,0.7
2207,4.4
2207,3.9
2207,-0.3
2207,-3.3
2206,5.0
2206,6.6
2205,5.5
2205,-8.9
2205,-9.0
2205,1.4
2204,2.9
2204,-4.0
