Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level  (C = 176.6 106km2/km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr/86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
75.0,0.1040518367476981,0.3994434708156631,0.8822544093014091,0.7480755325590804,0.3901313236005847,0.1881097853383967,0.0056657223796034,0.5016192914134043,0.136634671242657,0.3499558869178379,0.0877522125253374,0.4000000000000001,0.2527158342629543,0.4089865566570272,0.0,0.01,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.95,0.1040518367476981,0.3994434708156631,0.881259237363287,0.7455562878846713,0.3899357685848296,0.1882483476958132,0.0057223796033994,0.5012850045329106,0.1364035006726488,0.3506724118476456,0.0841222616360422,0.4000000000000001,0.2515571710276264,0.404158798262493,0.0045454545454545,0.011,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.9,0.1040518367476981,0.3994434708156631,0.8802640654251651,0.7430370432102621,0.3897402135690745,0.18838691005323,0.0057790368271954,0.5009507176524172,0.1361723301026409,0.3513915331318202,0.0804925594210471,0.4000000000000001,0.2504574414280208,0.3992908343918982,0.009090909090909,0.012,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.85000000000002,0.1040518367476981,0.3994434708156631,0.8792688934870431,0.7405177985358529,0.3895446585533193,0.1885254724106465,0.0058356940509915,0.5006164307719234,0.135941159532633,0.3521144168959624,0.0759375556877996,0.4000000000000001,0.2493034582307585,0.3940535594392805,0.0136363636363636,0.0129999999999999,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.8,0.1040518367476981,0.3994434708156631,0.8782737215489211,0.7379985538614438,0.3893491035375644,0.1886640347680631,0.0058923512747875,0.5002821438914299,0.1357099889626247,0.3528373006601046,0.0713825519504463,0.4000000000000001,0.2481494750334964,0.3888162844866628,0.0181818181818181,0.014,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.75,0.1040518367476981,0.3994434708156631,0.8772785496107991,0.7354793091870344,0.3891535485218091,0.1888025971254797,0.0059490084985835,0.4999478570109362,0.1354788183926164,0.3535638088634594,0.0677576263765954,0.4000000000000001,0.2469779123867269,0.3836725605849794,0.0227272727272727,0.015,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.7,0.1040518367476981,0.3994434708156631,0.8762833776726772,0.7329600645126253,0.388957993506054,0.1889411594828964,0.0060056657223795,0.4996135701304426,0.1352476478226081,0.3542926372913716,0.0641288538929005,0.4000000000000001,0.2458300249389031,0.3786952579864297,0.0272727272727272,0.016,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.65,0.1040518367476981,0.3994434708156631,0.8752882057345551,0.7304408198382162,0.3887624384902989,0.189079721840313,0.0060623229461756,0.499279283249949,0.1350164772526003,0.3550237106927928,0.0623475510663075,0.4000000000000001,0.2448386994703677,0.3744051565614631,0.0318181818181818,0.017,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.60000000000002,0.1040518367476981,0.3994434708156631,0.8742930337964331,0.7279215751638068,0.3885668834745439,0.1892182841977295,0.0061189801699716,0.4989449963694554,0.1347853066825923,0.3557579935176161,0.0596429283129626,0.4000000000000001,0.2438995788279484,0.3707909249495041,0.0363636363636363,0.018,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.55,0.1040518367476981,0.3994434708156631,0.8732978618583112,0.7254023304893977,0.3883713284587889,0.1893568465551462,0.0061756373937677,0.4986107094889618,0.134554136112584,0.3564922763424393,0.0569383055616694,0.4000000000000001,0.2429604581855292,0.3671766933375449,0.0409090909090909,0.019,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.5,0.1040518367476981,0.3994434708156631,0.8723026899201892,0.7228830858149885,0.3881757734430338,0.1894954089125628,0.0062322946175637,0.4982764226084679,0.1343229655425761,0.3572296040333335,0.0551616708928658,0.4000000000000001,0.2421195019686242,0.3631218790016933,0.0454545454545454,0.02,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.45,0.1040518367476981,0.3994434708156631,0.8713075179820672,0.7203638411405793,0.3879802184272787,0.1896339712699794,0.0062889518413597,0.4979421357279745,0.134091794972568,0.3579688463755805,0.0552324742393695,0.4000000000000001,0.2413758853788964,0.3588189198216182,0.05,0.021,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.4,0.1040518367476981,0.3994434708156631,0.8703123460439453,0.71784459646617,0.3877846634115236,0.1897725336273961,0.0063456090651558,0.4976078488474808,0.1338606244025597,0.3587099137006491,0.0553034523795576,0.4000000000000001,0.2405827591612604,0.3549751133566176,0.0545454545454545,0.022,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.35000000000002,0.1040518367476981,0.3994434708156631,0.8693171741058232,0.7153253517917609,0.3875891083957685,0.1899110959848127,0.0064022662889518,0.4972735619669873,0.1336294538325518,0.3594535302757298,0.0553746746824808,0.4000000000000001,0.2398265376781097,0.3521764991539488,0.059090909090909,0.023,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.3,0.1040518367476981,0.3994434708156631,0.8683220021677012,0.7128061071173517,0.3873935533800135,0.1900496583422292,0.0064589235127478,0.4969392750864936,0.1333982832625435,0.3601971468508104,0.0554458969854039,0.4000000000000001,0.2390703161949591,0.34937788495128,0.0636363636363636,0.024,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.25,0.1040518367476981,0.3994434708156631,0.8673268302295792,0.7102868624429425,0.3871979983642584,0.190188220699646,0.0065155807365439,0.4966049882060001,0.1331671126925356,0.3609431156128241,0.0555173445767033,0.4000000000000001,0.2383964306423714,0.3475705953760399,0.0681818181818181,0.025,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.2,0.1040518367476981,0.3994434708156631,0.8663316582914572,0.7077676177685334,0.3870024433485032,0.1903267830570625,0.0065722379603399,0.4962707013255063,0.1329359421225274,0.3616905161008973,0.0518903508946988,0.4000000000000001,0.2377985578129022,0.3464515417331346,0.0727272727272727,0.026,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.15,0.1040518367476981,0.3994434708156631,0.8653364863533353,0.7052483730941241,0.3868068883327481,0.1904653454144791,0.0066288951841359,0.4959364144450129,0.1327047715525191,0.362439240413334,0.0519620624078303,0.4000000000000001,0.2372870309776037,0.3457658684585802,0.0772727272727272,0.027,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.10000000000002,0.1040518367476981,0.3994434708156631,0.8643413144152132,0.7027291284197149,0.3866113333169929,0.1906039077718956,0.006685552407932,0.4956021275645191,0.1324736009825116,0.3631897269792605,0.0483353643049983,0.4000000000000001,0.2367802382151559,0.3448310018734228,0.0818181818181818,0.028,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.05,0.1040518367476981,0.3994434708156631,0.8633461424770913,0.7002098837453058,0.386415778301238,0.1907424701293124,0.006742209631728,0.4952678406840256,0.1322424304125033,0.3639402135451871,0.0447086662021591,0.4000000000000001,0.2362734454527081,0.3438961352882654,0.0863636363636363,0.029,0.05194805194805195,0.8855174081237913,0.09411764705882353,0.5025826446280992
74.0,0.1040518367476981,0.3994434708156631,0.8623509705389694,0.6976906390708966,0.3862202232854829,0.1908810324867289,0.006798866855524,0.4949335538035319,0.132011259842495,0.3646922284487965,0.0410821144808667,0.4000000000000001,0.2358542550785055,0.3429342850701303,0.0909090909090909,0.03,0.06060606060606061,0.8673321359491574,0.07058823529411765,0.30440771349862256
73.95,0.1040518367476981,0.3994434708156631,0.8613410188195881,0.6951713943964873,0.3860756481416713,0.1909724539410009,0.0068555240793201,0.4946747330208081,0.1317444914777884,0.3654450997315541,0.0411542231836044,0.4000000000000001,0.2354832503093372,0.3424903792494333,0.0909090909090909,0.031,0.06060606060606061,0.8673321359491574,0.07058823529411765,0.30440771349862256
73.9,0.1040518367476981,0.3994434708156631,0.8603310671002069,0.6926521497220782,0.3859310729978597,0.1910638753952728,0.0069121813031161,0.4944159122380842,0.1314777231130824,0.3662581785677877,0.0412320984611512,0.4000000000000001,0.2351420181380354,0.3424145222388155,0.0909090909090909,0.032,0.06060606060606061,0.8673321359491574,0.07058823529411765,0.30440771349862256
73.85000000000002,0.1040518367476981,0.3994434708156631,0.8593211153808257,0.690132905047669,0.3857864978540481,0.1911552968495449,0.0069688385269121,0.4941570914553601,0.1312109547483758,0.3670720855519514,0.041310053057269,0.4000000000000001,0.234844492429346,0.3421806405159078,0.0909090909090909,0.033,0.06060606060606061,0.8673321359491574,0.07058823529411765,0.30440771349862256
