Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level,TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
2,0.044236069,0.150360986,0.876933688,0.010085091,0.007043364,0.984068011,0.058356941,0.03848348,0.1880996,0.962570776,0.129785833,0.16,0.403240678,0.26342252,0.136363636,0.41,0.017316017,0.658423913,0.247058824,-0.166045549
1.95,0.042133487,0.149896543,0.880195093,0.010148123,0.006691196,0.984864611,0.058349858,0.037489895,0.187101172,0.963250535,0.128000972,0.156,0.410259742,0.295930613,0.140909091,0.4085,0.025974026,0.633514493,0.105882353,0.355555556
1.9,0.040030905,0.149432099,0.883456498,0.010211155,0.006339028,0.98566121,0.058342776,0.036496309,0.186102744,0.963930294,0.126216111,0.152,0.417278806,0.328438705,0.145454545,0.407,0.025974026,0.633514493,0.105882353,0.355555556
1.85,0.037928322,0.148967656,0.886717903,0.010274186,0.00598686,0.98645781,0.058335694,0.035502724,0.185104316,0.964610053,0.12443125,0.148,0.42429787,0.360946798,0.15,0.4055,0.025974026,0.633514493,0.105882353,0.355555556
1.8,0.03582574,0.148503213,0.889979308,0.010337218,0.005634692,0.987254409,0.058328612,0.034509138,0.184105888,0.965204842,0.118938315,0.144,0.421263854,0.375123688,0.154545455,0.404,0.025974026,0.633514493,0.105882353,0.355555556
1.75,0.033723158,0.14803877,0.893240713,0.01040025,0.005282523,0.988051008,0.05832153,0.033515553,0.18310746,0.965757146,0.115296705,0.14,0.455380131,0.416629411,0.159090909,0.4025,0.034632035,0.522961957,0.105882353,0.355555556
1.7,0.031620575,0.147574327,0.896502118,0.010463282,0.004930355,0.988847608,0.058314448,0.032521967,0.182109032,0.966451066,0.119677497,0.136,0.441224728,0.412031845,0.163636364,0.401,0.034632035,0.522961957,0.105882353,0.355555556
1.65,0.029517993,0.147109883,0.899763523,0.010526314,0.004578187,0.989644207,0.058307365,0.031528382,0.181110604,0.967144987,0.12405829,0.132,0.427069324,0.407434279,0.168181818,0.3995,0.034632035,0.522961957,0.105882353,0.355555556
1.6,0.027415411,0.14664544,0.903024929,0.010589345,0.004226019,0.990440807,0.058300283,0.030534797,0.180112176,0.967838907,0.128439082,0.128,0.412913921,0.402836712,0.172727273,0.398,0.034632035,0.522961957,0.105882353,0.355555556
1.55,0.025312829,0.146180997,0.906286334,0.010652377,0.00387385,0.991237406,0.058293201,0.029541211,0.179113748,0.968731091,0.134074436,0.124,0.355079376,0.377543675,0.177272727,0.3965,0.032467532,0.523695652,0.105882353,0.355555556
1.5,0.023210246,0.145716554,0.909547739,0.010715409,0.003521682,0.992034006,0.058286119,0.028547626,0.17811532,0.969793214,0.134176164,0.12,0.329533191,0.367966929,0.181818182,0.395,0.032467532,0.523695652,0.105882353,0.355555556
1.45,0.021107664,0.14525211,0.912809144,0.010778441,0.003169514,0.992830605,0.058279037,0.02755404,0.177116892,0.971195217,0.130611867,0.116,0.389895315,0.359146792,0.186363636,0.3935,0.056277056,0.570526756,0.105882353,0.355555556
1.4,0.019005082,0.144787667,0.916070549,0.010841473,0.002817346,0.993627205,0.058271955,0.026560455,0.176118464,0.97259722,0.12704757,0.112,0.450257438,0.350326656,0.190909091,0.392,0.056277056,0.570526756,0.105882353,0.355555556
1.35,0.016902499,0.144323224,0.919331954,0.010904505,0.002465178,0.994423804,0.058264873,0.025566869,0.175120036,0.973999222,0.123483273,0.108,0.510619562,0.341506519,0.195454545,0.3905,0.054112554,0.589391304,0.105882353,0.355555556
1.3,0.014799917,0.143858781,0.922593359,0.010967536,0.002113009,0.995220403,0.05825779,0.024573284,0.174121608,0.97561365,0.125485155,0.104,0.410937465,0.364275536,0.2,0.389,0.054112554,0.589391304,0.105882353,0.355555556
1.25,0.012697335,0.143394337,0.925854764,0.011030568,0.001760841,0.996017003,0.058250708,0.023579699,0.17312318,0.977228077,0.125643851,0.1,0.356884542,0.319960266,0.204545455,0.3875,0.062770563,0.583208396,0.105882353,0.355555556
1.2,0.010594753,0.142929894,0.929116169,0.0110936,0.001408673,0.996813602,0.058243626,0.022586113,0.172124752,0.978743373,0.109143346,0.096,0.404924224,0.341706871,0.209090909,0.386,0.088744589,0.624602333,0.105882353,0.355555556
1.15,0.00849217,0.142465451,0.932377574,0.011156632,0.001056505,0.997610202,0.058236544,0.021592528,0.171126324,0.980258669,0.092642841,0.092,0.452963907,0.363453476,0.213636364,0.3845,0.140692641,0.655785953,0.105882353,0.355555556
1.1,0.006389588,0.142001008,0.935638979,0.011219664,0.000704336,0.998406801,0.058229462,0.020598942,0.170127897,0.981773965,0.076142336,0.088,0.50100359,0.38520008,0.218181818,0.383,0.205627706,0.66389016,0.105882353,0.355555556
1.05,0.004287006,0.141536565,0.938900384,0.011282695,0.000352168,0.999203401,0.05822238,0.019605357,0.169129469,0.983048513,0.053892284,0.084,0.570977248,0.371597824,0.222727273,0.3815,0.253246753,0.670605723,0.105882353,0.355555556
1,0.002184423,0.141072121,0.942161789,0.011345727,0,1,0.058215297,0.018611771,0.168131041,0.984238091,0.031999474,0.08,0.547637862,0.252742979,0.227272727,0.38,0.261904762,0.671433705,0.105882353,0.355555556
0.95,0.002184423,0.141072121,0.94030939,0.011408759,0.001383845,0.997702977,0.058208215,0.017681183,0.167130194,0.985342699,0.03117961,0.076,0.535516697,0.211382097,0.222727273,0.3795,0.274891775,0.673262581,0.082352941,0.634782609
0.9,0.002184423,0.141072121,0.938456991,0.011471791,0.00276769,0.995405954,0.058201133,0.016750594,0.166129347,0.986447307,0.030359745,0.072,0.523395532,0.170021215,0.218181818,0.379,0.283549784,0.666229671,0.082352941,0.634782609
0.85,0.002184423,0.141072121,0.936604592,0.011534823,0.004151535,0.993108931,0.058194051,0.015820006,0.165128501,0.987445703,0.031378997,0.068,0.399983183,0.130235087,0.213636364,0.3785,0.283549784,0.666229671,0.082352941,0.634782609
0.8,0.002184423,0.141072121,0.934752192,0.011597855,0.005535381,0.990811908,0.058186969,0.014889417,0.164127654,0.988444099,0.032398249,0.064,0.276570835,0.090448959,0.209090909,0.378,0.287878788,0.662095456,0.082352941,0.634782609
0.75,0.002184423,0.141072121,0.932899793,0.011660886,0.006919226,0.988514885,0.058179887,0.013958829,0.163126807,0.989336282,0.03248777,0.06,0.368927155,0.108617532,0.204545455,0.3775,0.305194805,0.660453284,0.082352941,0.634782609
0.7,0.002184423,0.141072121,0.931047394,0.011723918,0.008303071,0.986217862,0.058172805,0.01302824,0.162125961,0.990207223,0.033494815,0.056,0.454511792,0.163882804,0.2,0.377,0.305194805,0.660453284,0.082352941,0.634782609
0.65,0.002184423,0.141072121,0.929194995,0.01178695,0.009686916,0.983920839,0.058165722,0.012097651,0.161125114,0.991078165,0.034501859,0.052,0.540096428,0.219148076,0.195454545,0.3765,0.305194805,0.660453284,0.082352941,0.634782609
0.6,0.002184423,0.141072121,0.927342595,0.011849982,0.011070761,0.981623817,0.05815864,0.011167063,0.160124267,0.991885378,0.0355028,0.048,0.524075804,0.201986915,0.190909091,0.376,0.30952381,0.657145029,0.082352941,0.634782609
0.55,0.002184423,0.141072121,0.925490196,0.011913014,0.012454606,0.979326794,0.058151558,0.010236474,0.159123421,0.992692592,0.036503741,0.044,0.508055181,0.184825753,0.186363636,0.3755,0.313852814,0.654317841,0.082352941,0.634782609
0.5,0.002184423,0.141072121,0.923637797,0.011976045,0.013838452,0.977029771,0.058144476,0.009305886,0.158122574,0.993414836,0.032874338,0.04,0.519974426,0.158331148,0.181818182,0.375,0.316017316,0.644267421,0.082352941,0.634782609
0.45,0.002184423,0.141072121,0.921785398,0.012039077,0.015222297,0.974732748,0.058137394,0.008375297,0.157121727,0.994094595,0.034790768,0.036,0.566230111,0.108318012,0.177272727,0.3745,0.333333333,0.621146245,0.082352941,0.634782609
0.4,0.002184423,0.141072121,0.919932998,0.012102109,0.016606142,0.972435725,0.058130312,0.007444709,0.156120881,0.994774354,0.036707198,0.032,0.658909046,0.069018516,0.172727273,0.374,0.333333333,0.621146245,0.082352941,0.634782609
0.35,0.002184423,0.141072121,0.918080599,0.012165141,0.017989987,0.970138702,0.058123229,0.00651412,0.155120034,0.995524921,0.038010589,0.028,0.628446836,0.084813744,0.168181818,0.3735,0.333333333,0.621146245,0.082352941,0.634782609
0.3,0.002184423,0.141072121,0.9162282,0.012228173,0.019373832,0.967841679,0.058116147,0.005583531,0.154119188,0.996275488,0.03931398,0.024,0.597984626,0.100608973,0.163636364,0.373,0.333333333,0.621146245,0.082352941,0.634782609
0.25,0.002184423,0.141072121,0.914375801,0.012291205,0.020757677,0.965544656,0.058109065,0.004652943,0.153118341,0.997026055,0.040617371,0.02,0.567522415,0.116404201,0.159090909,0.3725,0.333333333,0.621146245,0.082352941,0.634782609
0.2,0.002184423,0.141072121,0.912523401,0.012354236,0.022141522,0.963247633,0.058101983,0.003722354,0.152117494,0.998003208,0.04071503,0.016,0.586923357,0.117646483,0.154545455,0.372,0.333333333,0.621146245,0.082352941,0.634782609
0.15,0.002184423,0.141072121,0.910671002,0.012417268,0.023525368,0.96095061,0.058094901,0.002791766,0.151116648,0.998852907,0.044492957,0.012,0.531968209,0.073930212,0.15,0.3715,0.350649351,0.610493827,0.082352941,0.634782609
0.1,0.002184423,0.141072121,0.908818603,0.0124803,0.024909213,0.958653587,0.058087819,0.001861177,0.150115801,0.999702605,0.048270883,0.008,0.47701306,0.030213942,0.145454545,0.371,0.372294372,0.593541456,0.082352941,0.634782609
0.05,0.002184423,0.141072121,0.906966204,0.012543332,0.026293058,0.956356564,0.058080737,0.000930589,0.149114954,1,0.04090221,0.004,0.377562408,0.030358137,0.140909091,0.3705,0.372294372,0.593541456,0.082352941,0.634782609
0,0.002184423,0.141072121,0.905113804,0.012606364,0.027676903,0.954059541,0.058073654,0,0.148114108,1,0.04090221,0,,,0.136363636,0.37,0.372294372,0.596941355,0.082352941,0.634782609
